year,month,tavg
2013,6,22.396666666666665
2013,7,24.296774193548387
2013,8,25.225806451612904
2013,9,21.259999999999998
2013,10,14.69032258064516
2013,11,13.133333333333333
2013,12,6.687096774193549
2014,1,8.567741935483872
2014,2,8.635714285714286
2014,3,10.167741935483871
2014,4,13.35
2014,5,17.583870967741937
2014,6,21.366666666666667
2014,7,24.603225806451615
2014,8,25.383870967741935
2014,9,21.13
2014,10,16.54516129032258
2014,11,11.816666666666666
2014,12,9.596774193548388
2015,1,6.564516129032258
2015,2,6.896428571428571
2015,3,8.13225806451613
2015,4,10.803333333333333
2015,5,17.65806451612903
2015,6,20.68
2015,7,24.574193548387097
2015,8,25.65806451612903
2015,9,23.023333333333333
2015,10,16.503225806451614
2015,11,13.706666666666667
2015,12,8.119354838709677
2016,1,5.867741935483871
2016,2,9.96896551724138
2016,3,10.064516129032258
2016,4,14.833333333333334
2016,5,17.316129032258065
2016,6,23.05
2016,7,24.94193548387097
2016,8,25.093548387096774
2016,9,21.446666666666665
2016,10,15.880645161290323
2016,11,12.043333333333333
2016,12,5.461290322580646
2017,1,2.7548387096774194
2017,2,6.25
2017,3,8.896774193548387
2017,4,11.403333333333334
2017,5,16.3
2017,6,21.583333333333332
2017,7,23.851612903225806
2017,8,23.816129032258065
2017,9,21.753333333333334
2017,10,14.893548387096773
2017,11,11.4
2017,12,9.764516129032257
2018,1,6.519354838709678
2018,2,7.553571428571429
2018,3,10.280645161290321
2018,4,14.096666666666666
2018,5,18.148387096774194
2018,6,22.17
2018,7,24.661290322580644
2018,8,25.4741935483871
2018,9,20.94333333333333
2018,10,16.75483870967742
2018,11,12.379999999999999
2018,12,6.735483870967743
2019,1,6.187096774193549
2019,2,6.382142857142857
2019,3,8.764516129032257
2019,4,11.726666666666667
2019,5,18.37741935483871
2019,6,23.80666666666667
2019,7,23.42258064516129
2019,8,24.309677419354838
2019,9,21.123333333333335
2019,10,17.651612903225807
2019,11,15.263333333333332
2019,12,9.080645161290322
2020,1,6.164516129032258
2020,2,7.658620689655172
2020,3,9.474193548387097
2020,4,10.826666666666666
2020,5,16.64516129032258
2020,6,21.40666666666667
2020,7,24.19677419354839
2020,8,24.509677419354837
2020,9,22.886666666666667
2020,10,18.706451612903226
2020,11,11.903333333333334
2020,12,10.580645161290322
2021,1,8.07741935483871
2021,2,7.096428571428571
2021,3,6.819354838709677
2021,4,10.913333333333332
2021,5,17.67096774193548
2021,6,20.34
2021,7,24.770967741935483
2021,8,25.229032258064517
2021,9,20.06
2021,10,15.13225806451613
2021,11,12.476666666666667
2021,12,9.154838709677419
2022,1,5.274193548387097
2022,2,6.55
2022,3,4.851612903225806
2022,4,12.453333333333335
2022,5,17.16774193548387
2022,6,21.563333333333333
2022,7,23.948387096774194
2022,8,24.967741935483872
2022,9,20.4
2022,10,16.216129032258063
2022,11,13.646666666666667
2022,12,10.04516129032258
2023,1,8.509677419354839
2023,2,6.367857142857143
2023,3,9.2
2023,4,12.113333333333333
2023,5,15.390322580645162
2023,6,20.82
2023,7,25.519354838709678
2023,8,26.009677419354837
2023,9,22.523333333333333
2023,10,18.17096774193548
2023,11,14.47
2023,12,10.23225806451613
2024,1,7.419354838709677
2024,2,9.282758620689656
2024,3,9.603225806451613
2024,4,15.29
2024,5,15.67741935483871
2024,6,24.456666666666667
2024,7,26.164516129032258
2024,8,25.083870967741937
2024,9,21.75
2024,10,16.348387096774193
2024,11,11.286666666666667
2024,12,9.183870967741935
